Participant,Item,Condition,R1,R2,R3,R4,R5,R6
18,4,1,2408,5050,1645,2491,1124,1502
19,4,2,1798,3322,211,1939,1405,1729
20,4,1,1755,339,1733,1756,1494,1440
21,4,2,589,2804,1733,1564,786,441
22,4,1,3354,3851,2675,3231,2607,1595
23,4,2,1033,1766,1343,2024,1017,1114
24,4,1,1716,1682,1161,781,699,1979
25,4,2,1717,2958,1934,2958,1644,1393
26,4,1,2612,2487,1675,1724,1017,2560
27,4,2,1222,2333,1260,2657,1951,2316
28,4,1,1728,2225,1971,1575,1559,1320
29,4,2,1114,2130,1047,1581,1103,1368
30,4,1,4174,348,2769,3137,1667,1896
31,4,2,1650,3328,2570,1846,2171,1714
32,4,1,2084,2946,1905,1572,930,1334
33,4,2,1170,2062,1409,1486,1372,1895
34,4,1,1331,2123,1926,1935,1082,1047
36,4,2,2955,3246,1287,1421,1348,1403
37,4,1,1773,377,1814,1729,655,1168
38,4,2,1489,2907,3558,2899,916,1052
39,4,1,1450,1782,1939,920,676,1094
40,4,2,1758,2097,1099,1116,621,225
41,4,1,2129,3666,2480,1923,1129,2073
1,5,1,1497,1277,1379,1270,936,1139
2,5,2,4117,2762,1478,1644,3071,1052
3,5,1,2099,1374,1199,941,1538,1000
4,5,2,4645,0,122,160,163,169
5,5,1,1299,1251,621,1091,732,749
6,5,2,1119,1080,870,808,551,655
7,5,1,3182,2512,1323,1333,1070,1038
8,5,2,3327,2038,3471,195,1225,1785
9,5,1,4071,2346,1905,1379,1049,983
10,5,2,4012,3168,1859,1302,853,1225
11,5,1,923,1375,1514,1270,1396,1401
12,5,2,1359,1332,1530,924,1133,1538
13,5,1,1607,375,918,1470,737,1122
14,5,2,1720,1238,2167,1507,947,1128
15,5,1,4036,107,1018,1927,892,1117
16,5,2,1979,1494,2058,1540,1442,981
17,5,1,3058,1835,1293,1547,1565,1749
18,5,2,3216,1978,1993,1633,1683,1620
19,5,1,2518,1608,1515,1578,818,1053
20,5,2,1813,2032,2861,2539,2905,1696
21,5,1,597,932,242,393,694,747
22,5,2,2181,2759,2019,946,1648,1247
23,5,1,2273,2048,2678,804,1181,1185
24,5,2,3866,915,1401,351,527,799
25,5,1,2577,1637,428,1360,1148,1107
26,5,2,4469,2170,1524,2005,1330,859
27,5,1,1305,877,1066,739,1710,970
28,5,2,2003,1519,969,1111,668,1450
29,5,1,2818,1363,263,1000,644,927
30,5,2,445,180,297,172,1650,2432
31,5,1,2044,2017,1548,1667,1266,987
32,5,2,4332,2265,416,857,1618,1255
33,5,1,2325,2030,1692,1917,1275,2519
34,5,2,1914,1764,1893,1735,1572,2582
36,5,1,2722,1599,1224,1079,750,961
37,5,2,3587,1475,1940,1710,990,253
38,5,1,2184,1603,910,1538,599,877
39,5,2,740,1039,861,637,426,189
40,5,1,2535,612,575,707,411,613
41,5,2,2454,1286,1214,792,918,894
1,6,2,1339,2513,1327,1765,1452,879
2,6,1,1260,3622,1831,1889,2005,1865
3,6,2,1692,1591,1703,1196,1350,1028
4,6,1,3701,806,241,1557,1317,1449
5,6,2,1466,1521,1783,1251,820,825
6,6,1,1629,981,1883,796,657,800
7,6,2,1599,1317,1389,2236,2045,1138
8,6,1,3555,3065,1833,2690,3317,3115
9,6,2,1758,1418,1813,2107,1861,870
10,6,1,1864,2705,1963,1731,1706,830
11,6,2,2274,1618,1591,1792,2459,560
12,6,1,1250,1486,1294,1519,1332,791
13,6,2,2516,666,1108,929,1152,855
14,6,1,1996,2914,2541,1535,1672,1653
15,6,2,6922,1387,2231,1687,2943,819
16,6,1,1466,2124,1607,2162,2025,1342
