Participant,Item,Condition,R1,R2,R3,R4,R5,R6
16,4,1,1998,3285,2154,1916,1806,2078
17,4,2,3662,3100,2984,3391,1345,2386
18,4,1,3887,6301,3873,2783,1338,1502
19,4,2,2687,4790,1263,1939,1405,1729
20,4,1,2459,3335,1733,1756,1494,1440
21,4,2,712,2804,1733,1564,1292,1542
22,4,1,3354,4045,2675,4248,2607,1595
23,4,2,1033,1986,1343,2024,1017,1114
24,4,1,1716,1682,1161,781,964,1979
25,4,2,1717,2958,1934,3405,1862,1393
26,4,1,2988,2487,1675,1724,1017,2560
27,4,2,2152,3077,1574,2657,1951,2316
28,4,1,2513,3764,1971,1575,1668,1320
29,4,2,2507,2130,1047,1581,1103,1368
30,4,1,5997,5504,3210,3137,1667,1896
31,4,2,1650,3328,2570,1846,2171,1714
32,4,1,2084,2946,1905,1572,930,1334
33,4,2,1170,2812,1611,1486,1372,1895
34,4,1,1331,2123,1926,1935,1082,1047
36,4,2,2955,3426,1287,1421,1348,1403
37,4,1,2849,5163,1814,1729,655,1168
38,4,2,1706,2907,3558,2899,1082,1052
39,4,1,2994,3277,2689,920,676,1094
40,4,2,1758,2749,1653,1451,714,1577
41,4,1,2129,3666,2480,1923,1129,2073
1,5,1,1497,1277,1379,1270,936,1139
2,5,2,8788,5969,6640,2809,5240,2778
3,5,1,2099,1374,1199,941,1538,1000
4,5,2,5031,4336,2212,1824,1051,1036
5,5,1,2124,1251,621,1242,732,749
6,5,2,1119,1080,870,808,551,655
7,5,1,3976,2512,1323,1584,1260,1715
8,5,2,3327,2038,3737,1609,1225,1785
9,5,1,4071,3973,1905,1379,1049,983
10,5,2,4012,3168,1859,1302,853,1225
11,5,1,923,1640,1514,1270,1703,1401
12,5,2,1359,1332,1530,924,1133,1538
13,5,1,2160,2031,918,1470,737,1122
14,5,2,1720,1238,2167,1507,947,1128
15,5,1,4792,1967,1598,1927,892,1117
16,5,2,2290,2319,2058,1540,1442,981
17,5,1,3058,1835,1293,1547,2060,2167
18,5,2,3216,1978,2527,1633,2222,1620
19,5,1,2518,1608,1515,1578,818,1053
20,5,2,1813,2032,4069,3191,3179,1696
21,5,1,969,1070,768,775,775,747
22,5,2,2181,3391,2019,946,1648,1247
23,5,1,2886,2696,2678,804,1181,1185
24,5,2,5127,1961,2323,1319,1275,1367
25,5,1,3356,2575,1897,1360,1148,1107
26,5,2,5239,2314,1524,2005,1330,859
27,5,1,2617,2344,1312,739,1710,970
28,5,2,3188,1788,1121,1213,668,1450
29,5,1,3730,2262,1102,1000,644,927
30,5,2,7495,5297,4865,1974,1650,2432
